school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Herk Bouris Elementary,Menifee Union Elementary,2018-19,756,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Menifee Elementary,Menifee Union Elementary,2007-08,835,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Menifee Valley Middle,Menifee Union Elementary,2007-08,1505,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Menifee Valley Middle,Menifee Union Elementary,2017-18,1169,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Menifee Valley Middle,Menifee Union Elementary,2018-19,1192,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Oak Meadows Elementary,Menifee Union Elementary,2007-08,1044,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Oak Meadows Elementary,Menifee Union Elementary,2017-18,899,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Oak Meadows Elementary,Menifee Union Elementary,2018-19,884,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Quail Valley Elementary,Menifee Union Elementary,2017-18,519,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Quail Valley Elementary,Menifee Union Elementary,2018-19,517,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Ridgemoor Elementary,Menifee Union Elementary,2007-08,887,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Ridgemoor Elementary,Menifee Union Elementary,2017-18,639,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Ridgemoor Elementary,Menifee Union Elementary,2018-19,710,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Santa Rosa Academy,Menifee Union Elementary,2007-08,331,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Santa Rosa Academy,Menifee Union Elementary,2017-18,1558,Wildfires,2017 Southern California Fires,Liberty fire in Murrieta,8-Dec-17,2017,1,3.36712E+13,Riverside
Santa Rosa Academy,Menifee Union Elementary,2018-19,1556,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - air quality - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Santa Rosa Academy Charter,Menifee Union Elementary,2007-08,331,Wildfires,2007 Southern California Fires,2007 southern California fire,"October 25 through 26, 2007",2007,2,,Riverside
Southshore Elementary,Menifee Union Elementary,2017-18,793,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Southshore Elementary,Menifee Union Elementary,2018-19,807,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Taawila Elementary,Menifee Union Elementary,2018-19,281,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Encinal Elementary,Menlo Park City Elementary,2018-19,601,Wildfires,Camp Fire 2018,Poor air quality due to Butte Co. Fire.,16-Nov-18,2018,1,4.16897E+13,San Mateo
Hillview Middle,Menlo Park City Elementary,2018-19,968,Wildfires,Camp Fire 2018,Poor air quality due to Butte Co. Fire.,16-Nov-18,2018,1,4.16897E+13,San Mateo
Laurel Elementary,Menlo Park City Elementary,2018-19,709,Wildfires,Camp Fire 2018,Poor air quality due to Butte Co. Fire.,16-Nov-18,2018,1,4.16897E+13,San Mateo
Oak Knoll Elementary,Menlo Park City Elementary,2018-19,651,Wildfires,Camp Fire 2018,Poor air quality due to Butte Co. Fire.,16-Nov-18,2018,1,4.16897E+13,San Mateo
Meridian Elementary,Meridian Elementary,2018-19,44,Wildfires,Camp Fire 2018,2018 Wildfires-Camp Fire-Air Quality,"November 15 & 16, 2018",2018,2,5.17142E+13,Sutter
Mesa Elementary,Mesa Union Elementary,2017-18,617,Wildfires,2017 Southern California Fires,Ventura county fires - State of Emergency,"December 5-8, 13-15, 19-20, 2017",2017,7,5.67247E+13,Ventura
Mesa Elementary,Mesa Union Elementary,2018-19,615,Wildfires,2018 Southern California Fires,2018 Wildfires - Woosley Fire - State of Emergency,9-Nov-18,2018,1,5.67247E+13,Ventura
Cobb Mountain Elementary,Middletown Unified,2015-16,150,Wildfires,Valley Fire 2015,Wildfire,"Closure September 14-25, 2015, reduction of 1,200 minutes total on September 28-October 9, 2015.",2015,10,1.76406E+13,Lake
Cobb Mountain Elementary,Middletown Unified,2015-16,150,Wildfires,Rocky Fire 2015,Wildfires,"August 11-14 and 17, 2015",2015,5,1.76406E+13,Lake
Cobb Mountain Elementary,Middletown Unified,2017-18,131,Wildfires,2017 Wine Country Fires,"Lake, Napa and Sonoma county fires/unhealthy air quality","October 9-13, and 16, 2017",2017,6,1.76406E+13,Lake
Cobb Mountain Elementary,Middletown Unified,2018-19,147,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 13-16, 2018",2018,4,1.76406E+13,Lake
Coyote Valley Elementary,Middletown Unified,2015-16,429,Wildfires,Valley Fire 2015,Wildfire,"Closure September 14-25, 2015, reduction of 1,200 minutes total on September 28-October 9, 2015.",2015,10,1.76406E+13,Lake
Coyote Valley Elementary,Middletown Unified,2015-16,429,Wildfires,Rocky Fire 2015,Wildfires,"August 11-14 and 17, 2015",2015,5,1.76406E+13,Lake
Coyote Valley Elementary,Middletown Unified,2017-18,420,Wildfires,2017 Wine Country Fires,"Lake, Napa and Sonoma county fires/unhealthy air quality","October 9-13, and 16, 2017",2017,6,1.76406E+13,Lake
Coyote Valley Elementary,Middletown Unified,2018-19,427,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 13-16, 2018",2018,4,1.76406E+13,Lake
Lake County International Charter,Middletown Unified,2015-16,75,Wildfires,Valley Fire 2015,Valley Fire,"September 14-18 and 21-15, 2015",2015,10,1.76406E+13,Lake
Lake County International Charter,Middletown Unified,2018-19,75,Wildfires,Camp Fire 2018,weather and Wildfire - Camp Fire - air quality,"November 13-16, 2018",2018,4,1.76406E+13,Lake
Loconoma Valley High,Middletown Unified,2015-16,15,Wildfires,Valley Fire 2015,Wildfire,"Closure September 14-25, 2015, reduction of 1,200 minutes total on September 28-October 9, 2015.",2015,10,1.76406E+13,Lake
Loconoma Valley High,Middletown Unified,2015-16,15,Wildfires,Rocky Fire 2015,Wildfires,"August 11-14 and 17, 2015",2015,5,1.76406E+13,Lake
Loconoma Valley High,Middletown Unified,2017-18,8,Wildfires,2017 Wine Country Fires,"Lake, Napa and Sonoma county fires/unhealthy air quality","October 9-13, and 16, 2017",2017,6,1.76406E+13,Lake
Loconoma Valley High,Middletown Unified,2018-19,10,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 13-16, 2018",2018,4,1.76406E+13,Lake
Middletown High,Middletown Unified,2015-16,466,Wildfires,Valley Fire 2015,Wildfire,"Closure September 14-25, 2015, reduction of 1,200 minutes total on September 28-October 9, 2015.",2015,10,1.76406E+13,Lake
Middletown High,Middletown Unified,2015-16,466,Wildfires,Rocky Fire 2015,Wildfires,"August 11-14 and 17, 2015",2015,5,1.76406E+13,Lake
Middletown High,Middletown Unified,2017-18,477,Wildfires,2017 Wine Country Fires,"Lake, Napa and Sonoma county fires/unhealthy air quality","October 9-13, and 16, 2017",2017,6,1.76406E+13,Lake
Middletown High,Middletown Unified,2018-19,499,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 13-16, 2018",2018,4,1.76406E+13,Lake
Middletown Middle,Middletown Unified,2015-16,249,Wildfires,Valley Fire 2015,Wildfire,"Closure September 14-25, 2015, reduction of 1,200 minutes total on September 28-October 9, 2015.",2015,10,1.76406E+13,Lake
Middletown Middle,Middletown Unified,2015-16,249,Wildfires,Rocky Fire 2015,Wildfires,"August 11-14 and 17, 2015",2015,5,1.76406E+13,Lake
Middletown Middle,Middletown Unified,2017-18,254,Wildfires,2017 Wine Country Fires,"Lake, Napa and Sonoma county fires/unhealthy air quality","October 9-13, and 16, 2017",2017,6,1.76406E+13,Lake
Middletown Middle,Middletown Unified,2018-19,221,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 13-16, 2018",2018,4,1.76406E+13,Lake
Minnie Cannon Elementary,Middletown Unified,2015-16,161,Wildfires,Valley Fire 2015,Wildfire,"Closure September 14-25, 2015, reduction of 1,200 minutes total on September 28-October 9, 2015.",2015,10,1.76406E+13,Lake
Minnie Cannon Elementary,Middletown Unified,2015-16,161,Wildfires,Rocky Fire 2015,Wildfires,"August 11-14 and 17, 2015",2015,5,1.76406E+13,Lake
Minnie Cannon Elementary,Middletown Unified,2017-18,165,Wildfires,2017 Wine Country Fires,"Lake, Napa and Sonoma county fires/unhealthy air quality","October 9-13, and 16, 2017",2017,6,1.76406E+13,Lake
Minnie Cannon Elementary,Middletown Unified,2018-19,175,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 13-16, 2018",2018,4,1.76406E+13,Lake
Edna Maguire Elementary,Mill Valley Elementary,2017-18,588,Wildfires,2017 Wine Country Fires,Northern California fires/air quality,13-Oct-17,2017,1,2.16539E+13,Marin
Edna Maguire Elementary,Mill Valley Elementary,2018-19,536,Wildfires,Camp Fire 2018,2018 Wild Fires-Camp Fire-Air Quality,16-Nov-18,2018,1,2.16539E+13,Marin
Mill Valley Middle,Mill Valley Elementary,2017-18,1050,Wildfires,2017 Wine Country Fires,Northern California fires/air quality,13-Oct-17,2017,1,2.16539E+13,Marin
Mill Valley Middle,Mill Valley Elementary,2018-19,1039,Wildfires,Camp Fire 2018,2018 Wild Fires-Camp Fire-Air Quality,16-Nov-18,2018,1,2.16539E+13,Marin
Old Mill Elementary,Mill Valley Elementary,2017-18,298,Wildfires,2017 Wine Country Fires,Northern California fires/air quality,13-Oct-17,2017,1,2.16539E+13,Marin
Old Mill Elementary,Mill Valley Elementary,2018-19,287,Wildfires,Camp Fire 2018,2018 Wild Fires-Camp Fire-Air Quality,16-Nov-18,2018,1,2.16539E+13,Marin
Park Elementary,Mill Valley Elementary,2017-18,310,Wildfires,2017 Wine Country Fires,Northern California fires/air quality,13-Oct-17,2017,1,2.16539E+13,Marin
Park Elementary,Mill Valley Elementary,2018-19,304,Wildfires,Camp Fire 2018,2018 Wild Fires-Camp Fire-Air Quality,16-Nov-18,2018,1,2.16539E+13,Marin
Strawberry Point Elementary,Mill Valley Elementary,2017-18,355,Wildfires,2017 Wine Country Fires,Northern California fires/air quality,13-Oct-17,2017,1,2.16539E+13,Marin
Strawberry Point Elementary,Mill Valley Elementary,2018-19,327,Wildfires,Camp Fire 2018,2018 Wild Fires-Camp Fire-Air Quality,16-Nov-18,2018,1,2.16539E+13,Marin
Tamalpais Valley Elementary,Mill Valley Elementary,2017-18,482,Wildfires,2017 Wine Country Fires,Northern California fires/air quality,13-Oct-17,2017,1,2.16539E+13,Marin
Tamalpais Valley Elementary,Mill Valley Elementary,2018-19,452,Wildfires,Camp Fire 2018,2018 Wild Fires-Camp Fire-Air Quality,16-Nov-18,2018,1,2.16539E+13,Marin
Green Hills Elementary,Millbrae Elementary,2018-19,385,Wildfires,Camp Fire 2018,Poor air quality due to Butte Co. Fire.,16-Nov-19,2018,1,4.16897E+13,San Mateo
Lomita Park Elementary,Millbrae Elementary,2018-19,309,Wildfires,Camp Fire 2018,Poor air quality due to Butte Co. Fire.,16-Nov-19,2018,1,4.16897E+13,San Mateo
Meadows Elementary,Millbrae Elementary,2018-19,438,Wildfires,Camp Fire 2018,Poor air quality due to Butte Co. Fire.,16-Nov-19,2018,1,4.16897E+13,San Mateo
Spring Valley Elementary,Millbrae Elementary,2018-19,425,Wildfires,Camp Fire 2018,Poor air quality due to Butte Co. Fire.,16-Nov-19,2018,1,4.16897E+13,San Mateo
Taylor Middle,Millbrae Elementary,2018-19,825,Wildfires,Camp Fire 2018,Poor air quality due to Butte Co. Fire.,16-Nov-19,2018,1,4.16897E+13,San Mateo
Alexander Rose Elementary,Milpitas Unified,2018-19,479,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Anthony Spangler Elementary,Milpitas Unified,2018-19,589,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Calaveras Hills,Milpitas Unified,2018-19,106,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Curtner Elementary,Milpitas Unified,2018-19,730,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
John Sinnott Elementary,Milpitas Unified,2018-19,738,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Joseph Weller Elementary,Milpitas Unified,2018-19,454,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Mabel Mattos Elementary,Milpitas Unified,2018-19,113,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Marshall Pomeroy Elementary,Milpitas Unified,2018-19,722,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Milpitas High,Milpitas Unified,2018-19,3177,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Pearl Zanker Elementary,Milpitas Unified,2018-19,635,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Rancho Milpitas Middle,Milpitas Unified,2018-19,717,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Robert Randall Elementary,Milpitas Unified,2018-19,348,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Thomas Russell Middle,Milpitas Unified,2018-19,825,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
William Burnett Elementary,Milpitas Unified,2018-19,539,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,19-Nov-18,2018,1,4.37339E+13,Santa Clara
Aspire Vanguard College Preparatory Academy,Modesto City High,2018-19,405,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 19-20, 2018 (497 minutes)",2018,2,5.07118E+13,Stanislaus
Monte Rio Elementary,Monte Rio Union Elementary,2017-18,88,Wildfires,2017 Wine Country Fires,Sonoma county fires - State of Emergency,"October 9-11, 2017",2017,3,4.97081E+13,Sonoma
Monte Rio Elementary,Monte Rio Union Elementary,2018-19,84,Wildfires,Camp Fire 2018,2018 Wildfires-Camp Fire-Air Quality,"November 9, 2018 & Novembeer 13, 2018",2018,2,4.97081E+13,Sonoma
Montebello Elementary,Montebello Elementary,2007-08,21,Wildfires,Other Wildfires,roads closed due to Cupertino Hills fire,31-Aug-07,2007,1,4.36957E+13,Santa Clara
Montecito Elementary,Montecito Union Elementary,2008-09,399,Wildfires,2008 Southern California Fires,State of Emergency declared due to fires.,14-Nov-08,2008,1,,Santa Barbara
Montecito Union,Montecito Union Elementary,2015-16,438,Wildfires,Other Wildfires,Gibralter Fire,29-Oct-15,2015,1,4.26925E+13,Santa Barbara
Montecito Union,Montecito Union Elementary,2017-18,410,Wildfires,2018 Southern California Fires,Montecito county wildfires - State of Emergency,"January 8-12, 2018",2018,5,4.26925E+13,Santa Barbara
Montecito Union,Montecito Union Elementary,2017-18,410,Wildfires,2018 Southern California Fires,Montecito county wildfires - State of Emergency,"December 7-8, and 11-15, 2017",2017,7,4.26925E+13,Santa Barbara
Montgomery Elementary,Montgomery Elementary,2018-19,33,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9 and 13, 2018",2018,2,4.97082E+13,Sonoma
Arroyo West Elementary,Moorpark Unified,2003-04,645,Wildfires,2003 Southern California Fires,Southern CA wild fire,27-Oct-03,2003,1,5.67394E+13,Ventura
Arroyo West Elementary,Moorpark Unified,2006-07,539,Wildfires,Shekell Fire 2006,wildfires,4-Dec-06,2006,1,5.67394E+13,Ventura
Arroyo West Elementary,Moorpark Unified,2007-08,480,Wildfires,2007 Southern California Fires,wild fire,23-Oct-07,2007,1,5.67394E+13,Ventura
Arroyo West Elementary,Moorpark Unified,2017-18,446,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 5-8, 2017",2017,1,5.67394E+13,Ventura
Arroyo West Elementary,Moorpark Unified,2018-19,435,Wildfires,2018 Southern California Fires,2018 Wildfires - Woosley Fire - State of Emergency,9-Nov-18,2018,1,5.67394E+13,Ventura
Campus Canyon Elementary,Moorpark Unified,2003-04,493,Wildfires,2003 Southern California Fires,Southern CA wild fire,27-Oct-03,2003,1,5.67394E+13,Ventura
